"corpus","user/isabelle.gribomont/jcds_react"
"profundizar",3184,465738,77.21239,23.77052,3.157
"usted",29931,4493468,725.83038,229.33943,3.155
"vocero",1304,183036,31.62216,9.34187,3.154
"acumulación",2023,291436,49.05799,14.87443,3.153
"desempleo",2427,352666,58.85505,17.99951,3.150
"montaña",6324,943142,153.35776,48.13646,3.141
"debilitar",1569,225468,38.04844,11.50753,3.122
"obedecer",2269,332213,55.02352,16.95562,3.120
"transformación",5832,876820,141.42671,44.75149,3.113
"mapuche",1286,182995,31.18566,9.33977,3.113
"invasión",2004,294389,48.59724,15.02514,3.095
"legítimo",2598,386968,63.00182,19.75023,3.084
"trabajador",24592,3789978,596.35895,193.43443,3.072
"jamás",5576,849716,135.21867,43.36815,3.070
"fortalecimiento",1930,286007,46.80273,14.59734,3.065
"mando",5190,791728,125.85813,40.40854,3.064
"engañar",2916,439373,70.71336,22.42490,3.061
"mafia",1085,156196,26.31138,7.97199,3.044
"bolívar",2576,391880,62.46831,20.00093,3.022
"naturalmente",1628,243005,39.47920,12.40259,3.020
"marchar",3558,547869,86.28194,27.96236,3.014
"conformación",1179,172865,28.59089,8.82275,3.012
"defender",13241,2076738,321.09586,105.99340,3.010
"superación",1169,171546,28.34839,8.75543,3.008
"intensificar",1136,167862,27.54814,8.56741,2.984
"independencia",6064,954508,147.05273,48.71656,2.978
"fracasar",1812,276113,43.94122,14.09237,2.978
"contra",61955,9899262,1502.41614,505.24255,2.970
"voluntad",7860,1246831,190.60594,63.63627,2.964
"fortalecer",5472,864980,132.69666,44.14720,2.961
"jefatura",1019,151288,24.71087,7.72150,2.948
"soberano",1694,260794,41.07970,13.31051,2.940
"detenido",1479,226214,35.86593,11.54560,2.939
"agredir",1341,204850,32.51941,10.45522,2.926
"aparato",4737,756963,114.87282,38.63419,2.924
"imperio",3843,613592,93.19321,31.31676,2.915
"abiertamente",1078,163001,26.14163,8.31931,2.912
"libertador",1229,188084,29.80340,9.59951,2.906
"brutal",1600,249359,38.80019,12.72689,2.899
"esfuerzo",15346,2509106,372.14236,128.06078,2.891
"reivindicar",1641,257168,39.79445,13.12544,2.888
"tarea",14177,2326133,343.79398,118.72211,2.880
"libertad",16268,2676352,394.50098,136.59674,2.874
"golpe",7826,1284375,189.78145,65.55245,2.867
"ar",1059,162795,25.68088,8.30880,2.866
"imponer",11532,1904918,279.65240,97.22398,2.857
"indio",3380,550172,81.96541,28.07990,2.853
"demócrata",1459,230657,35.38093,11.77237,2.848
"cuánto",6295,1039729,152.65451,53.06611,2.842
"bloqueo",2272,369334,55.09628,18.85022,2.826
"erradicar",1049,163733,25.43838,8.35667,2.826
"presa",1679,269771,40.71595,13.76868,2.825
"comité",7725,1289238,187.33218,65.80065,2.819
"pacífico",3508,579241,85.06943,29.56354,2.816
"ernesto",1737,280863,42.12246,14.33480,2.812
"verdaderamente",2259,369441,54.78102,18.85568,2.809
"comunicado",4366,725945,105.87603,37.05107,2.809
"organizar",20185,3401973,489.48868,173.63127,2.809
"emanar",1077,169633,26.11738,8.65780,2.808
"antioquia",1001,157165,24.27437,8.02145,2.802
"up",1272,203617,30.84615,10.39229,2.795
"públicamente",1549,251422,37.56343,12.83218,2.788
"delincuente",2046,336856,49.61575,17.19259,2.782
"saludar",2052,339326,49.76125,17.31866,2.771
"resolver",14165,2420615,343.50296,123.54432,2.766
"azúcar",3501,589175,84.89967,30.07055,2.765
"fundamentalmente",2820,472867,68.38534,24.13438,2.761
"consolidación",1677,277118,40.66745,14.14366,2.751
"sacrificar",1409,231320,34.16842,11.80620,2.746
"justicia",16441,2835169,398.69623,144.70250,2.743
"detención",2819,477500,68.36109,24.37084,2.734
"ignorancia",1318,216915,31.96166,11.07100,2.731
"lineamiento",1007,162866,24.41987,8.31242,2.730
"nación",10638,1847903,257.97278,94.31402,2.717
"electoral",10827,1885501,262.55606,96.23296,2.711
"tierra",23319,4106735,565.48853,209.60121,2.690
"honduras",1588,269688,38.50919,13.76445,2.676
"entusiasmo",1654,282263,40.10970,14.40625,2.668
"embajada",1641,281521,39.79445,14.36838,2.654
"dialogar",1772,305511,42.97121,15.59279,2.650
"frente",30050,5396855,728.71613,275.44687,2.640
"sistemático",1863,323309,45.17797,16.50118,2.639
"bala",1371,235269,33.24692,12.00775,2.633
"juventud",4389,780440,106.43378,39.83241,2.631
"injusto",1699,297154,41.20096,15.16627,2.610
"histórico",14911,2703945,361.59354,138.00505,2.608
"graduar",1479,257329,35.86593,13.13366,2.608
"afán",1210,208537,29.34265,10.64340,2.606
"lógica",2768,493943,67.12434,25.21006,2.599
"discutir",4912,888196,119.11659,45.33210,2.593
"apoderar",1081,187346,26.21438,9.56184,2.577
"construir",18057,3334508,437.88446,170.18797,2.564
"unidad",19838,3665195,481.07388,187.06570,2.563
"petróleo",3266,593814,79.20089,30.30732,2.562
"masivo",3771,688284,91.44720,35.12892,2.559
"alianza",5242,964686,127.11913,49.23603,2.550
"golpear",3467,634065,84.07517,32.36166,2.550
"estado",57640,10727920,1397.77698,547.53595,2.550
"violento",3108,568674,75.36938,29.02422,2.544
"inteligencia",4802,886531,116.44907,45.24713,2.540
"méxico",22802,4260163,552.95123,217.43192,2.536
"chileno",4906,908322,118.97109,46.35931,2.533
"tonelada",3334,614690,80.84991,31.37280,2.528
"oriente",2977,549085,72.19261,28.02442,2.522
"r",3151,582137,76.41213,29.71134,2.521
"impulsar",7491,1408088,181.65765,71.86656,2.507
"verdadero",10833,2046323,262.70157,104.44106,2.501
"creciente",3306,616620,80.17090,31.47130,2.500
"legalidad",1594,291370,38.65469,14.87106,2.499
"pa",1598,292658,38.75169,14.93680,2.494
"disfrazar",1008,180616,24.44412,9.21835,2.490
"generalizar",2124,394511,51.50726,20.13521,2.484
"aliado",2220,413672,53.83527,21.11316,2.480
"fracaso",2754,516953,66.78483,26.38446,2.475
"simón",1077,195784,26.11738,9.99250,2.467
"ocultar",3050,576766,73.96287,29.43722,2.463
"corrupción",4448,848054,107.86454,43.28332,2.458
"batalla",5669,1084233,137.47394,55.33752,2.458
"proseguir",1204,221519,29.19715,11.30598,2.454
"claridad",2277,429506,55.21752,21.92130,2.453
"violación",3411,650754,82.71716,33.21345,2.447
"gobernar",3529,675168,85.57867,34.45950,2.442
"exigencia",3436,660064,83.32342,33.68861,2.431
"olvido",1365,256328,33.10141,13.08257,2.422
"continuidad",2822,543072,68.43385,27.71753,2.418
"concebir",2729,525096,66.17858,26.80006,2.416
"continental",1281,242925,31.06440,12.39850,2.393
"millón",7184,1419136,174.21288,72.43044,2.386
"protestar",1209,230202,29.31839,11.74914,2.378
"ecuatoriano",1281,244966,31.06440,12.50267,2.375
"p",7915,1575272,191.93970,80.39937,2.370
"santos",1537,297155,37.27243,15.16632,2.367
"enfrentar",10722,2140947,260.00980,109.27052,2.367
"violar",2381,467188,57.73954,23.84453,2.364
"atacar",5154,1025062,124.98512,52.31753,2.363
"delegación",3592,712790,87.10644,36.37966,2.357
"chocar",1597,310856,38.72744,15.86559,2.356
"prevalecer",1019,194304,24.71087,9.91697,2.355
"perseguir",3602,717437,87.34893,36.61684,2.349
"tesis",3386,674108,82.11091,34.40540,2.347
"condición",25443,5140782,616.99585,262.37732,2.346
"desigualdad",1934,380632,46.89973,19.42685,2.345
"aspirar",2125,421835,51.53151,21.52979,2.332
"divisa",1302,254351,31.57366,12.98167,2.330
"ofensivo",1150,223521,27.88764,11.40816,2.328
"social",57122,11671577,1385.21545,595.69867,2.323
"morir",14806,3018907,359.04727,154.08018,2.322
"esperanza",5817,1179410,141.06296,60.19520,2.321
"ahí",15717,3210455,381.13916,163.85651,2.318
"liberal",2499,501309,60.60106,25.58601,2.317
"castigo",1658,329314,40.20670,16.80766,2.314
"económico",30201,6201218,732.37787,316.50027,2.310
"anciano",1970,395074,47.77274,20.16395,2.305
"entonces",26938,5548672,653.24976,283.19537,2.302
"tremendo",1672,335372,40.54620,17.11685,2.293
"perú",5907,1214648,143.24545,61.99370,2.290
"moral",7350,1515373,178.23839,77.34222,2.288
"nacional",54658,11374891,1325.46313,580.55627,2.281
"interés",23061,4800957,559.23206,245.03319,2.277
"granja",1168,234083,28.32414,11.94722,2.265
"cruel",1027,205378,24.90487,10.48217,2.256
"cometer",6181,1292199,149.89000,65.95177,2.254
"defensor",3248,675198,78.76439,34.46103,2.249
"bilateral",1053,211894,25.53538,10.81473,2.246
"actitud",6314,1325741,153.11526,67.66370,2.244
"aquí",29106,6151327,705.82404,313.95392,2.244
"liquidar",1325,269920,32.13141,13.77629,2.242
"profundo",7087,1491275,171.86061,76.11230,2.242
"agrícola",3433,719626,83.25066,36.72856,2.233
"campaña",12795,2713171,310.28030,138.47592,2.232
"conducción",2164,450218,52.47726,22.97841,2.230
"defensa",11590,2473665,281.05890,126.25191,2.217
"alentar",1148,235403,27.83914,12.01459,2.216
"propósito",5789,1231202,140.38396,62.83859,2.215
"plantear",12332,2636155,299.05249,134.54514,2.214
"desaparecer",6711,1429858,162.74257,72.97767,2.213
"intelectual",4354,924764,105.58502,47.19848,2.211
"opositor",1599,333154,38.77594,17.00365,2.209
"sangre",6819,1456483,165.36157,74.33656,2.208
"pedazo",1224,252667,29.68215,12.89572,2.208
"aislar",2769,585752,67.14858,29.89585,2.206
"sexto",2805,593561,68.02158,30.29441,2.206
"ma",1274,264109,30.89465,13.47970,2.203
"bloque",3993,851179,96.83073,43.44282,2.201
"acción",28903,6242131,700.90125,318.58841,2.196
"revés",1079,222946,26.16588,11.37881,2.195
"alzar",1757,370443,42.60746,18.90682,2.191
"valiente",1285,268085,31.16140,13.68263,2.190
"campo",17700,3828867,429.22714,195.41925,2.190
"vicio",1104,228969,26.77213,11.68621,2.189
"acontecimiento",3141,671904,76.16962,34.29291,2.187
"amenazar",3231,692803,78.35214,35.35956,2.182
"amenaza",4572,986063,110.87156,50.32708,2.180
"imperial",1164,243240,28.22714,12.41458,2.179
"subjetivo",1343,282280,32.56791,14.40712,2.179
"fraude",1787,379513,43.33497,19.36974,2.177
"respeto",5844,1265345,141.71770,64.58119,2.176
"unificar",1277,268463,30.96740,13.70192,2.174
"élite",1125,235309,27.28138,12.00980,2.174
"multiplicar",1718,364972,41.66171,18.62759,2.174
"toma",4369,944889,105.94878,48.22563,2.173
"sustentar",1929,411539,46.77848,21.00430,2.171
"oponer",4226,915348,102.48101,46.71790,2.169
"mina",2135,457913,51.77401,23.37115,2.165
"reforma",9549,2084988,231.56439,106.41446,2.165
"enriquecer",1735,370494,42.07396,18.90942,2.163
"construcción",14891,3260378,361.10855,166.40450,2.163
"abajo",4848,1056429,117.56458,53.91845,2.159
"ecuador",3121,678667,75.68462,34.63808,2.152
"avance",5884,1297354,142.68771,66.21488,2.138
"asumir",8192,1813771,198.65698,92.57198,2.134
"cemento",1028,218596,24.92912,11.15679,2.133
"aliar",1005,213533,24.37137,10.89838,2.132
"maestro",8420,1866455,204.18600,95.26089,2.132
"congreso",9585,2126722,232.43742,108.54449,2.131
"cuadro",5907,1308572,143.24545,66.78743,2.128
"acaso",2184,478438,52.96227,24.41871,2.123
"debilidad",1688,367802,40.93420,18.77203,2.121
"falso",4539,1008190,110.07130,51.45641,2.117
"absurdo",1676,366287,40.64320,18.69470,2.114
"vaca",1256,272022,30.45815,13.88357,2.114
"ganancia",2598,574445,63.00182,29.31876,2.111
"castro",2859,633866,69.33110,32.35151,2.109
"estructural",2261,499381,54.82952,25.48761,2.108
"cesar",2066,456047,50.10075,23.27591,2.105
"exigir",9311,2098862,225.79286,107.12257,2.098
"teórico",3247,726173,78.74014,37.06271,2.095
"ruptura",1384,303930,33.56217,15.51210,2.093
"disputa",1358,298047,32.93166,15.21184,2.093
"pretender",10716,2423148,259.86429,123.67361,2.092
"héroe",2107,468320,51.09501,23.90231,2.092
"secuestrar",1447,319405,35.08993,16.30192,2.086
"nacionalista",1274,280214,30.89465,14.30168,2.084
"reconstrucción",1305,287977,31.64641,14.69789,2.080
"ó",2387,535301,57.88504,27.32091,2.079
"trazar",1288,284294,31.23416,14.50991,2.078
"bastar",3691,834310,89.50719,42.58185,2.077
"quién",9280,2114181,225.04112,107.90443,2.076
"fenómeno",5026,1145150,121.88110,58.44663,2.067
"pensamiento",6507,1486751,157.79553,75.88140,2.065
"camino",15930,3657139,386.30444,186.65454,2.064
"esclavo",1407,313990,34.11992,16.02555,2.063
"radical",2782,632604,67.46384,32.28710,2.057
"proclamar",1508,338683,36.56918,17.28584,2.055
"extranjero",7508,1726924,182.06990,88.13945,2.054
"renunciar",2433,553275,59.00054,28.23828,2.052
"profundamente",1396,313640,33.85317,16.00768,2.049
"quebrar",1144,255273,27.74214,13.02873,2.049
"irak",1118,249259,27.11164,12.72178,2.049
"pelear",2112,479799,51.21626,24.48817,2.049
"odio",1865,423937,45.22647,21.63707,2.042
"oposición",4770,1100367,115.67307,56.16098,2.041
"capital",14781,3431284,358.44104,175.12726,2.041
"delegado",2751,630675,66.71208,32.18865,2.040
"allá",9005,2087689,218.37233,106.55231,2.040
"coronel",1453,328541,35.23542,16.76821,2.039
"surgir",8209,1902808,199.06924,97.11629,2.039
"república",8257,1917478,200.23325,97.86501,2.035
"aniversario",2545,586122,61.71656,29.91473,2.029
"territorio",9401,2193759,227.97539,111.96596,2.027
"derechos",3281,759608,79.56464,38.76918,2.026
"colonial",1267,287712,30.72491,14.68436,2.023
"consciente",3493,812077,84.70567,41.44712,2.019
"expresión",6963,1628836,168.85359,83.13319,2.019
"firme",2827,656512,68.55509,33.50732,2.016
"diplomático",1597,366740,38.72744,18.71782,2.015
"ah",1479,339465,35.86593,17.32575,2.012
"intento",4097,958111,99.35275,48.90046,2.011
"derecha",4634,1087724,112.37505,55.51570,2.006
"porque",75700,17980841,1835.73425,917.71344,1.999
"conservador",1902,443308,46.12373,22.62573,1.995
"carácter",10358,2459547,251.18274,125.53135,1.993
"oriental",2113,495693,51.24051,25.29938,1.986
"discurso",5469,1301459,132.62392,66.42439,1.982
"inevitable",1166,269931,28.27564,13.77685,1.981
"ilícito",1409,328343,34.16842,16.75810,1.980
"rendir",3003,710986,72.82311,36.28759,1.980
"estrategia",10757,2572114,260.85855,131.27660,1.980
"muerte",13035,3120204,316.10031,159.25024,1.979
"estados",16923,4059479,410.38480,207.18933,1.976
"columna",2942,698666,71.34386,35.65880,1.973
"justo",7861,1885401,190.63020,96.22786,1.971
"encabezar",2924,696812,70.90736,35.56417,1.967
"fundamental",9826,2376666,238.28168,121.30124,1.956
"presidencial",2617,626434,63.46257,31.97219,1.955
"estatal",6954,1683315,168.63533,85.91371,1.952
"lección",1585,376540,38.43644,19.21800,1.951
"realidad",18372,4469903,445.52322,228.13670,1.949
"constituir",10861,2640330,263.38055,134.75824,1.947
"ese",173199,42252716,4200.09668,2156.51123,1.947
"castigar",1502,357593,36.42368,18.25097,1.944
"espíritu",5423,1316386,131.50841,67.18624,1.943
"obstáculo",1878,449892,45.54173,22.96177,1.942
"sindicato",3770,913567,91.42295,46.62700,1.941
"avión",3607,873708,87.47018,44.59266,1.940
"desplegar",1864,451541,45.20222,23.04593,1.921
"policía",11201,2761648,271.62561,140.95010,1.921
"víctima",7299,1797612,177.00163,91.74725,1.919
"multinacional",1310,315278,31.76766,16.09129,1.917
"posición",11422,2822305,276.98489,144.04594,1.917
"retomar",1795,436167,43.52897,22.26127,1.914
"invadir",1378,333475,33.41667,17.02003,1.910
"comprender",8338,2065666,202.19751,105.42830,1.909
"negar",6621,1638559,160.56006,83.62943,1.909
"escuela",14751,3666838,357.71353,187.14957,1.907
"población",16061,4002238,389.48117,204.26784,1.902
"siquiera",4897,1214160,118.75284,61.96879,1.902
"significar",10068,2512411,244.15021,128.22945,1.897
"gloria",1933,475207,46.87548,24.25381,1.896
"sendero",1070,258992,25.94763,13.21854,1.895
"respaldo",1828,449809,44.32922,22.95753,1.892
"detener",7582,1896751,183.86443,96.80714,1.890
"bomba",2611,647165,63.31707,33.03027,1.890
"asamblea",4614,1152948,111.89006,58.84462,1.886
"cívico",1172,286309,28.42114,14.61275,1.884
"cooperativa",1583,390563,38.38794,19.93371,1.882
"hoy",36297,9159018,880.20660,467.46164,1.881
"callar",1335,328685,32.37391,16.77556,1.878
"rico",8193,2066246,198.68124,105.45790,1.876
"avanzar",9889,2496596,239.80945,127.42228,1.875
"base",20575,5221472,498.94626,266.49557,1.869
"aislamiento",1076,264965,26.09313,13.52339,1.865
"plan",17508,4462101,424.57111,227.73851,1.861
"rumbo",1914,479832,46.41473,24.48986,1.860
"álvaro",1240,307852,30.07015,15.71227,1.859
"sino",32548,8326055,789.29291,424.94858,1.855
"condenar",3778,958472,91.61695,48.91888,1.855
"chávez",1733,435240,42.02546,22.21395,1.853
"sociedad",21507,5512431,521.54736,281.34570,1.851
"manifestación",3610,919444,87.54293,46.92696,1.847
"negociar",2179,551655,52.84101,28.15559,1.847
"levantar",7040,1805393,170.72086,92.14437,1.844
"interno",9264,2379219,224.65312,121.43154,1.843
"progreso",2354,598104,57.08478,30.52627,1.842
"viejo",7195,1848260,174.47961,94.33224,1.841
"agricultura",3099,791397,75.15112,40.39164,1.840
"ligar",2416,615923,58.58829,31.43573,1.837
"esforzar",1127,282673,27.32989,14.42718,1.836
"síntesis",1311,330405,31.79191,16.86334,1.836
"allí",12000,3100138,291.00143,158.22610,1.834
"liberar",3460,888478,83.90542,45.34650,1.832
"negociación",3765,970092,91.30170,49.51195,1.827
"justificar",4220,1089360,102.33551,55.59919,1.826
"petrolero",1569,399462,38.04844,20.38790,1.826
"marina",1239,314260,30.04590,16.03933,1.822
"acá",2300,591015,55.77528,30.16446,1.822
"mercancía",1758,450270,42.63171,22.98106,1.819
"juárez",1079,273123,26.16588,13.93976,1.818
"vergüenza",1165,296766,28.25139,15.14646,1.812
"bolivia",2550,660456,61.83781,33.70862,1.810
"sierra",2855,740608,69.23409,37.79945,1.810
"nos",78911,20740075,1913.60120,1058.54028,1.807
"nutrir",1003,255380,24.32287,13.03419,1.804
"comunal",1190,305286,28.85764,15.58131,1.801
"consolidar",3133,820069,75.97562,41.85501,1.796
"chile",8690,2290835,210.73355,116.92056,1.796
"todavía",10038,2657729,243.42270,135.64626,1.789
"doloroso",1073,276482,26.02038,14.11120,1.788
"encaminar",1176,304280,28.51814,15.52997,1.786
"hombre",27031,7183672,655.50500,366.64316,1.786
"central",11837,3144602,287.04868,160.49547,1.784
"entero",3025,800353,73.35661,40.84874,1.777
"occidente",1281,334007,31.06440,17.04718,1.777
"sector",22732,6085824,551.25372,310.61075,1.772
"naciones",1985,524300,48.13649,26.75944,1.770
"raúl",1848,489214,44.81422,24.96870,1.764
"ni",44960,12106299,1090.28540,617.88617,1.763
"sobrar",1112,291564,26.96614,14.88096,1.761
"absolutamente",2354,627085,57.08478,32.00542,1.760
"reconstruir",1039,272143,25.19588,13.88974,1.759
"salario",4335,1162330,105.12428,59.32347,1.759
"nadie",11876,3199963,287.99442,163.32100,1.759
"unir",27622,7456764,669.83685,380.58136,1.758
"inmediato",5304,1430382,128.62263,73.00442,1.752
"respetar",4582,1238457,111.11406,63.20887,1.746
"in",3903,1055733,94.64822,53.88293,1.743
"venezuela",4507,1220560,109.29529,62.29544,1.743
"temor",1930,518852,46.80273,26.48138,1.739
"apoyo",12632,3445423,306.32755,175.84889,1.738
"expresar",10523,2873123,255.18402,146.63960,1.735
"incapacidad",1174,313313,28.46964,15.99100,1.734
"necesidad",17742,4853073,430.24564,247.69310,1.734
"caribe",1729,465632,41.92846,23.76511,1.733
"período",5829,1589575,141.35396,81.12937,1.733
"producción",14700,4022051,356.47678,205.27907,1.733
"c",7324,2005303,177.60789,102.34747,1.728
"maíz",1305,350672,31.64641,17.89774,1.728
"magnitud",1334,358846,32.34966,18.31493,1.727
"economía",10152,2785983,246.18721,142.19212,1.726
"tragedia",1175,315520,28.49389,16.10364,1.724
"preservar",1291,348135,31.30691,17.76826,1.721
"victoria",6738,1853197,163.39731,94.58422,1.720
"pro",2581,705891,62.58956,36.02755,1.717
"dueño",3536,971047,85.74843,49.56069,1.716
"vivir",25051,6933946,607.48981,353.89752,1.715
"estudiante",11275,3119916,273.42010,159.23553,1.713
"débil",1833,500525,44.45047,25.54600,1.712
"emprender",2133,584059,51.72551,29.80944,1.711
"reacción",3285,904638,79.66164,46.17128,1.710
"círculo",2072,568038,50.24625,28.99175,1.709
"arturo",1145,311038,27.76639,15.87488,1.705
"reiterar",2384,656468,57.81229,33.50508,1.704
"transformar",4505,1249253,109.24680,63.75988,1.702
"ejercer",5247,1456635,127.24039,74.34432,1.702
"incapaz",1147,312141,27.81489,15.93118,1.702
"muchacho",1891,519970,45.85698,26.53844,1.702
"n",4818,1339949,116.83708,68.38886,1.698
"hundir",1173,320189,28.44539,16.34194,1.698
"indispensable",1782,491435,43.21371,25.08206,1.695
"atentado",1526,419881,37.00568,21.43006,1.694
"hermano",10630,2979767,257.77878,152.08255,1.690
"cc",1041,285010,25.24438,14.54646,1.688
"instrumento",5355,1501448,129.85939,76.63151,1.686
"precisamente",5085,1425788,123.31187,72.76994,1.685
"perspectiva",4573,1281927,110.89581,65.42751,1.684
"impedir",5297,1486241,128.45288,75.85537,1.684
"rechazo",1769,492081,42.89846,25.11503,1.681
"confundir",2060,574475,49.95525,29.32029,1.681
"existencia",5841,1643509,141.64496,83.88208,1.681
"concretar",2092,584357,50.73125,29.82465,1.678
"periódico",3570,1003041,86.57293,51.19361,1.678
"importar",6183,1743197,149.93849,88.96999,1.678
"fracción",1448,402240,35.11417,20.52969,1.677
"federal",8076,2281006,195.84398,116.41890,1.676
"educar",1770,493943,42.92271,25.21006,1.676
"circunstancia",4695,1324471,113.85432,67.59888,1.674
"privilegiar",1244,345351,30.16715,17.62616,1.673
"conducir",5517,1560034,133.78792,79.62165,1.672
"década",6546,1854387,158.74129,94.64495,1.670
"participación",10242,2906735,248.36974,148.35512,1.670
"problema",31912,9084364,773.86981,463.65146,1.668
"baja",3002,848860,72.79886,43.32446,1.665
"desarrollar",21185,6044995,513.73877,308.52689,1.663
"internacional",22041,6296306,534.49689,321.35342,1.661
"noble",1290,362309,31.28266,18.49167,1.656
"rural",4889,1398395,118.55884,71.37185,1.652
"dirección",13608,3907371,329.99564,199.42598,1.651
"prestigio",1216,342498,29.48815,17.48055,1.650
"plenamente",1213,342555,29.41540,17.48346,1.646
"alternativa",4580,1316351,111.06554,67.18446,1.644
"proceso",30864,8928809,748.45569,455.71219,1.641
"mandar",4720,1361587,114.46057,69.49323,1.638
"prácticamente",3415,986739,82.81416,50.36158,1.632
"washington",1720,493264,41.71021,25.17541,1.632
"principalmente",4717,1367387,114.38783,69.78925,1.630
"paro",2227,641582,54.00502,32.74532,1.630
"evidenciar",1676,481338,40.64320,24.56672,1.629
"tanque",1065,303128,25.82638,15.47117,1.629
"estructura",8401,2443725,203.72527,124.72382,1.628
"honor",3058,884869,74.15687,45.16230,1.628
"originario",1305,374845,31.64641,19.13149,1.622
"bogotá",2389,693077,57.93354,35.37355,1.620
"integrante",3654,1065417,88.60995,54.37718,1.618
"colectivo",6930,2028538,168.05333,103.53335,1.617
"qué",40530,11920140,982.85742,608.38489,1.615
"agrupar",1360,392941,32.98016,20.05508,1.614
"fuego",4664,1367821,113.10256,69.81140,1.611
"equivocar",2464,719605,59.75230,36.72749,1.610
"promesa",1683,489216,40.81295,24.96881,1.610
"necesariamente",1659,482440,40.23095,24.62297,1.609
"desplazamiento",1472,427821,35.69618,21.83530,1.607
"torno",3827,1127139,92.80521,57.52737,1.603
"d",6167,1830465,149.55049,93.42402,1.594
"manifiesto",2005,590277,48.62149,30.12679,1.594
"acuerdo",22513,6703975,545.94299,342.16019,1.594
"dependiente",1510,444000,36.61768,22.66105,1.590
"derecho",32954,9851699,799.13849,502.81497,1.588
"panamá",1363,400693,33.05292,20.45073,1.587
"evidente",3030,899727,73.47787,45.92063,1.587
"acordar",3960,1178141,96.03048,60.13044,1.587
"onu",1345,395829,32.61641,20.20248,1.585
"propiciar",1373,404237,33.29541,20.63161,1.585
"apoyar",8609,2573597,208.76930,131.35228,1.585
"someter",4221,1263058,102.35976,64.46447,1.579
"juntar",2004,596069,48.59724,30.42241,1.578
"permanente",4499,1348264,109.10129,68.81324,1.577
"hectárea",1694,503261,41.07970,25.68564,1.577
"inocente",1015,298847,24.61387,15.25267,1.576
"transición",1725,515347,41.83146,26.30249,1.569
"extraordinario",3123,938988,75.73313,47.92445,1.568
"garantizar",7639,2314994,185.24667,118.15359,1.563
"pactar",1065,316896,25.82638,16.17387,1.562
"inventar",1634,490113,39.62470,25.01459,1.562
"particularmente",1747,525176,42.36496,26.80415,1.560
"venir",22901,6975168,555.35205,356.00143,1.558
"soñar",1823,549110,44.20797,28.02570,1.558
"grito",1527,458844,37.02994,23.41867,1.557
"as",2500,755956,60.62530,38.58279,1.557
"guardia",2805,849942,68.02158,43.37968,1.555
"robar",2847,862803,69.04009,44.03609,1.555
"ellos",38352,11712979,930.04059,597.81177,1.555
"núcleo",2125,643912,51.53151,32.86424,1.551
"mundo",35254,10835420,854.91382,553.02258,1.545
"adelante",6047,1855123,146.64049,94.68252,1.543
"pan",3209,983867,77.81863,50.21500,1.539
"solución",10359,3195573,251.20700,163.09695,1.537
"manipular",1150,348835,27.88764,17.80398,1.536
"exclusión",1081,327530,26.21438,16.71661,1.536
"organismo",6016,1855720,145.88873,94.71299,1.535
"etapa",6869,2123291,166.57408,108.36938,1.532
